后端工程师（JAVA）(J10906)`8k-13k`[武汉·东西湖区]`经验3-5年 / 本科`深圳奥哲网络科技有限公司`软件服务｜咨询 / B轮 / 500-2000人`“周末双休，五险一金”`互联网
java后端开发工程师(J12575)`25k-40k`[上海·浦东新区]`经验5-10年 / 本科`阅文集团`内容社区 / 上市公司 / 500-2000人`“福利佳”`内容社区
后端开发工程师-文档（武汉）`25k-45k`[武汉·东西湖区]`经验5-10年 / 本科`小红书`电商平台,内容社区 / D轮及以上 / 500-2000人`“带薪年假,扁平管理,团队实力”`年度旅游
后端工程师（内控技术平台方向）-郑州 (MJ000126)`10k-15k`[郑州·新郑市]`经验1-3年 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“蚂蚁技术平台”`JAVA
高级后端开发工程师（业务风险方向）-郑州 (mj000123)`15k-25k`[郑州·新郑市]`经验3-5年 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“蚂蚁技术”`软件服务｜咨询
大数据后端工程师-抖音生活服务`25k-50k`[成都·武侯区]`经验不限 / 不限`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“下午茶,五险一金,团队氛围好,带薪休假”`后端开发
广告后端研发工程师（上海） — Pangle`25k-50k`[上海·闵行区]`经验不限 / 本科`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“下午茶,健身瑜伽,六险一金,五险一金”`后端开发
后端研发工程师-直播技术组`25k-50k`[北京·朝阳区]`经验3-5年 / 本科`小红书`电商平台,内容社区 / D轮及以上 / 500-2000人`“弹性工作,免费三餐,扁平管理”`年度旅游
高级后端研发工程师`17k-22k`[广州·天河区]`经验3-5年 / 本科`优聚大鱼`软件服务｜咨询 / 天使轮 / 50-150人`“团队发展前景好”`JAVA
Python后端开发工程师`25k-50k`[深圳·西丽]`经验5-10年 / 本科`深圳市慧择软件集团有限公司`IT技术服务｜咨询 / 不需要融资 / 500-2000人`“薪资高 福利好 公司好”`生活服务
node.js后端开发工程师`12k-20k`[上海·闵行区]`经验1-3年 / 本科`弘连网络`数据服务｜咨询 / A轮 / 150-500人`“技术大牛 优秀团队 弹性工作”`软件服务｜咨询
nodejs 后端开发工程师`15k-30k`[北京·望京]`经验3-5年 / 本科`鼐特信息技术`网络通信,信息安全 / 不需要融资 / 15-50人`“大牛带队 较大成长潜力”`信息安全
后端开发工程师`8k-12k`[保定·容城县]`经验1-3年 / 本科`雄安雄创公司`IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 50-150人`“五险一金、餐补、定期体检、周末双休、绩效奖金”`JAVA
后端开发工程师`25k-50k`[北京·朝阳区]`经验3-5年 / 本科`美团`消费生活 / 上市公司 / 2000人以上`“互联网大厂”`软件开发
软件开发工程师（后端软件开发）`8k-10k`[苏州·工业园区]`经验1-3年 / 本科`苏州广播电视总台`文化传媒 / 不需要融资 / 500-2000人`“工作稳定 待遇好 有发展前景”`文化传媒
支付后端资深工程师-C端方向`25k-45k`[上海·杨浦区]`经验3-5年 / 本科`美团`消费生活 / 上市公司 / 2000人以上`“核心业务”`软件开发
Golang后端开发工程师`20k-40k`[北京·海淀区]`经验3-5年 / 本科`搜狐集团`内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上`“上市公司、大平台”`广告
高级后端开发工程师`15k-18k`[北京·朝阳门]`经验5-10年 / 本科`高维通`软件服务｜咨询,IT技术服务｜咨询 / 未融资 / 150-500人`“双休，五险一金，节假日福利”`JAVA
